timestamp_us,node_id,seq_no,rssi_dbm,pdr_percent,delay_ms
439727920,11,39,-94,100.0,
442175632,5,42,-94,100.0,342.0
442595920,12,38,-65,100.0,283.0
443173920,15,36,-65,100.0,159.0
443205632,3,42,-65,100.0,554.0
445094920,16,37,-65,100.0,192.0
445607920,14,38,-94,100.0,180.0
445951920,9,40,-65,100.0,384.0
447087920,13,38,-65,100.0,649.0
447504632,4,42,-81,100.0,
448376920,8,41,-94,100.0,
448760920,6,41,-65,100.0,
448880920,7,41,-65,100.0,45.0
449122920,10,39,-65,100.0,250.0
450151920,11,40,-94,100.0,
450179632,2,42,-69,100.0,
452093920,12,39,-65,100.0,338.0
452770632,5,43,-94,100.0,340.0
453159632,3,43,-65,100.0,539.0
454016920,15,37,-65,100.0,209.0
455658920,14,39,-94,100.0,117.0
455995920,16,38,-65,100.0,255.0
456428920,13,39,-65,100.0,610.0
456722096,9,41,-65,100.0,378.0
457476920,8,42,-94,100.0,
457703632,4,43,-81,100.0,
458540808,7,42,-65,100.0,35.0
458998920,10,40,-65,100.0,233.0
459032920,6,42,-65,100.0,
460403920,11,41,-94,100.0,
460901632,2,43,-69,100.0,
462571920,12,40,-65,100.0,327.0
463468632,5,44,-94,100.0,360.0
464010632,3,44,-65,100.0,544.0
464892920,15,38,-65,100.0,218.0
465852920,13,40,-65,100.0,618.0
466125920,14,40,-94,100.0,167.0
466248920,9,42,-65,100.0,413.0
466520920,16,39,-65,100.0,228.0
468195920,10,41,-65,100.0,260.0
468275920,8,43,-94,100.0,
468356632,4,44,-81,100.0,
468415920,6,43,-65,100.0,
469196920,7,43,-65,100.0,71.0
470383920,11,42,-94,100.0,
471291632,2,44,-69,100.0,
473097632,3,45,-65,100.0,543.0
473527920,12,41,-65,100.0,314.0
474367632,5,45,-94,100.0,369.0
475722920,15,39,-65,100.0,250.0
475891920,13,41,-65,100.0,620.0
476307920,9,43,-65,100.0,419.0
476461920,14,41,-94,100.0,160.0
476613920,16,40,-65,100.0,226.0
477499632,4,45,-81,100.0,
478181920,6,44,-65,100.0,
478241920,10,42,-65,100.0,317.0
478611920,8,44,-94,100.0,
479797920,7,44,-65,100.0,98.0
480566632,2,45,-69,100.0,
481126920,11,43,-94,100.0,
482975632,3,46,-65,100.0,527.0
483574920,12,42,-65,100.0,305.0
484387632,5,46,-94,100.0,340.0
485308920,13,42,-65,100.0,629.0
486012920,9,44,-65,100.0,429.0
486137920,15,40,-65,100.0,256.0
486575632,4,46,-81,100.0,
487003920,14,42,-94,100.0,185.0
487448920,16,41,-65,100.0,188.0
488878920,10,43,-65,100.0,225.0
488984920,6,45,-65,100.0,
489425920,8,45,-94,100.0,
489697632,2,46,-69,100.0,
490447808,7,45,-65,100.0,54.0
491056920,11,44,-94,100.0,
493472632,3,47,-65,100.0,551.0
493850632,5,47,-94,100.0,376.0
494384920,12,43,-65,100.0,311.0
495465272,13,43,-65,100.0,584.0
495894920,15,41,-65,100.0,223.0
496533920,9,45,-65,100.0,422.0
496683632,4,47,-81,100.0,
497608920,14,43,-94,100.0,209.0
497984920,16,42,-65,100.0,264.0
498553920,6,46,-65,100.0,
499239920,10,44,-65,100.0,279.0
499242840,8,46,-94,100.0,
500545920,11,45,-94,100.0,
500654632,2,47,-69,100.0,
501172920,7,46,-65,100.0,74.0
502661632,3,48,-65,100.0,553.0
504742632,5,48,-94,100.0,359.0
505235920,12,44,-65,100.0,367.0
505472920,15,42,-65,100.0,222.0
505643920,13,44,-65,100.0,609.0
507078920,9,46,-65,100.0,388.0
507180632,4,48,-81,100.0,7.0
508068920,14,44,-94,100.0,168.0
508762920,6,47,-65,100.0,
508827920,8,47,-94,100.0,
508912920,16,43,-65,100.0,203.0
509914920,10,45,-65,100.0,218.0
510421632,2,48,-69,100.0,
510809920,7,47,-65,100.0,59.0
511102920,11,46,-94,100.0,
513177632,3,49,-65,100.0,556.0
514812920,12,45,-65,100.0,335.0
515163632,5,49,-94,100.0,349.0
515654920,13,45,-65,100.0,630.0
516242920,15,43,-65,100.0,201.0
517554632,4,49,-81,100.0,4.0
517800920,9,47,-65,100.0,417.0
517960920,6,48,-65,100.0,
518424920,16,44,-65,100.0,241.0
518569920,8,48,-94,100.0,
518825096,14,45,-94,100.0,148.0
520086920,7,48,-65,100.0,60.0
520254920,11,47,-94,100.0,
520571632,2,49,-69,100.0,
520959920,10,46,-65,100.0,276.0
522983632,3,50,-65,100.0,537.0
525236920,12,46,-65,100.0,284.0
525514632,5,50,-94,100.0,363.0
525937920,13,46,-65,100.0,604.0
526403920,15,44,-65,100.0,187.0
527601632,4,50,-81,100.0,
528253096,9,48,-65,100.0,372.0
528472920,14,46,-94,100.0,128.0
528499808,8,49,-94,100.0,
528646920,6,49,-65,100.0,
528802920,16,45,-65,100.0,246.0
530161920,10,47,-65,100.0,216.0
530395920,7,49,-65,100.0,77.0
530715920,11,48,-94,100.0,
531448632,2,50,-69,100.0,
533641632,3,51,-65,100.0,548.0
535013920,12,47,-65,100.0,301.0
535224920,13,47,-65,100.0,615.0
535989632,5,51,-94,100.0,360.0
536330920,15,45,-65,100.0,196.0
537844920,14,47,-94,100.0,152.0
538280920,8,50,-94,100.0,
538313632,4,51,-81,100.0,
538985920,6,50,-65,100.0,
539261920,9,49,-65,100.0,400.0
539328920,16,46,-65,100.0,201.0
539709920,10,48,-65,100.0,287.0
540585920,11,49,-94,100.0,
540680920,7,50,-65,100.0,76.0
541557632,2,51,-69,100.0,
543054632,3,52,-65,100.0,558.0
544190920,12,48,-65,100.0,381.0
544339920,13,48,-65,100.0,610.0
546031632,5,52,-94,100.0,356.0
546863920,14,48,-94,100.0,169.0
547152920,15,46,-65,100.0,210.0
548545920,9,50,-65,100.0,414.0
548633632,4,52,-81,100.0,
548721920,6,51,-65,100.0,
548771920,8,51,-94,100.0,
548892920,10,49,-65,100.0,265.0
550046920,16,47,-65,100.0,228.0
550733808,7,51,-65,100.0,56.0
551021920,11,50,-94,100.0,
552348632,2,52,-69,100.0,
552903632,3,53,-65,100.0,552.0
553155920,12,49,-65,100.0,301.0
554538920,13,49,-65,100.0,575.0
