run_name,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,n_samples,pdr_window_mean,delay_avg_ms_mean,rssi_avg_mean,etx_mean,radio_tx_percent_mean,energy_estimated_mj_mean,energy_radio_tx_mj_mean
run_0161_cfg_054_seed_2_of0,2,8,16,5,50.0,16,5,OF0,855,99.9168187134503,158.09941520467837,-73.3391812865497,1.0671111111111111,0.4698246894224848,3472.81604175158,14.714909658947366
run_0162_cfg_054_seed_3_of0,3,8,16,5,50.0,16,5,OF0,855,99.90486549707605,158.9111111111111,-73.28187134502924,1.0616491228070175,0.4686611573158303,3472.8191205305266,14.678469541052632
run_0163_cfg_055_seed_1_mrhof,1,8,16,5,50.0,16,10,MRHOF,855,100.0,150.81052631578947,-72.46666666666667,1.03,0.2536447095516569,3473.36081533193,7.944152303157894
run_0164_cfg_055_seed_2_mrhof,2,8,16,5,50.0,16,10,MRHOF,855,100.0,149.03157894736842,-69.66666666666667,1.0294619883040936,0.2537958091686524,3473.3604345712283,7.9488846147368415
run_0165_cfg_055_seed_3_mrhof,3,8,16,5,50.0,16,10,MRHOF,855,99.95711111111112,149.62923976608187,-72.13333333333334,1.028046783625731,0.2523861752798257,3473.364268836492,7.904738189473683
run_0166_cfg_056_seed_1_of0,1,8,16,5,50.0,16,10,OF0,855,99.91422222222222,151.66315789473686,-71.10175438596491,1.0386666666666666,0.2566201326055956,3473.3533172659654,8.037342551578947
run_0167_cfg_056_seed_2_of0,2,8,16,5,50.0,16,10,OF0,855,100.0,148.30877192982456,-72.4654970760234,1.0244912280701757,0.2537309768765403,3473.3605979340355,7.946854248421053
run_0168_cfg_056_seed_3_of0,3,8,16,5,50.0,16,10,OF0,855,99.98050292397662,150.05964912280703,-71.60116959064328,1.028,0.2536392618426578,3473.360828968421,7.943982821052631
run_0169_cfg_057_seed_1_mrhof,1,8,16,5,50.0,16,20,MRHOF,855,99.96100584795322,146.4701754385965,-71.73333333333333,1.024140350877193,0.1380019805068226,3473.652235009123,4.322222029473684
run_0170_cfg_057_seed_2_mrhof,2,8,16,5,50.0,16,20,MRHOF,855,100.0,148.27836257309943,-69.66666666666667,1.0323040935672514,0.1392819633258073,3473.649009448421,4.362311141052631
run_0171_cfg_057_seed_3_mrhof,3,8,16,5,50.0,16,20,MRHOF,855,100.0,145.93216374269005,-71.46666666666667,1.0276023391812863,0.1385316232064103,3473.650900322807,4.33881027368421
