run_name,config_id,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,status,rows_added,error
run_0158_cfg_016_seed_8_mrhof,16,8,8,16,0,50.0,12,5,MRHOF,SUCCESS,627,
run_0159_cfg_016_seed_9_mrhof,16,9,8,16,0,50.0,12,5,MRHOF,SUCCESS,627,
run_0160_cfg_016_seed_10_mrhof,16,10,8,16,0,50.0,12,5,MRHOF,SUCCESS,627,
run_0161_cfg_017_seed_1_of0,17,1,8,16,0,50.0,12,5,OF0,SUCCESS,627,
run_0162_cfg_017_seed_2_of0,17,2,8,16,0,50.0,12,5,OF0,SUCCESS,627,
run_0163_cfg_017_seed_3_of0,17,3,8,16,0,50.0,12,5,OF0,SUCCESS,627,
run_0164_cfg_017_seed_4_of0,17,4,8,16,0,50.0,12,5,OF0,SUCCESS,627,
run_0165_cfg_017_seed_5_of0,17,5,8,16,0,50.0,12,5,OF0,SUCCESS,627,
run_0166_cfg_017_seed_6_of0,17,6,8,16,0,50.0,12,5,OF0,SUCCESS,627,
run_0167_cfg_017_seed_7_of0,17,7,8,16,0,50.0,12,5,OF0,SUCCESS,627,
run_0168_cfg_017_seed_8_of0,17,8,8,16,0,50.0,12,5,OF0,SUCCESS,627,
run_0169_cfg_017_seed_9_of0,17,9,8,16,0,50.0,12,5,OF0,SUCCESS,627,
run_0170_cfg_017_seed_10_of0,17,10,8,16,0,50.0,12,5,OF0,SUCCESS,627,
run_0171_cfg_018_seed_1_of0,18,1,8,16,0,50.0,12,10,OF0,SUCCESS,627,
run_0172_cfg_018_seed_2_of0,18,2,8,16,0,50.0,12,10,OF0,SUCCESS,627,
run_0173_cfg_018_seed_3_of0,18,3,8,16,0,50.0,12,10,OF0,SUCCESS,627,
run_0174_cfg_018_seed_4_of0,18,4,8,16,0,50.0,12,10,OF0,SUCCESS,627,
run_0175_cfg_018_seed_5_of0,18,5,8,16,0,50.0,12,10,OF0,SUCCESS,627,
run_0176_cfg_018_seed_6_of0,18,6,8,16,0,50.0,12,10,OF0,SUCCESS,627,
run_0177_cfg_018_seed_7_of0,18,7,8,16,0,50.0,12,10,OF0,SUCCESS,627,
run_0178_cfg_018_seed_8_of0,18,8,8,16,0,50.0,12,10,OF0,SUCCESS,627,
run_0179_cfg_018_seed_9_of0,18,9,8,16,0,50.0,12,10,OF0,SUCCESS,627,
run_0180_cfg_018_seed_10_of0,18,10,8,16,0,50.0,12,10,OF0,SUCCESS,627,
run_0181_cfg_019_seed_1_mrhof,19,1,8,16,0,50.0,16,5,MRHOF,SUCCESS,855,
run_0182_cfg_019_seed_2_mrhof,19,2,8,16,0,50.0,16,5,MRHOF,SUCCESS,855,
run_0183_cfg_019_seed_3_mrhof,19,3,8,16,0,50.0,16,5,MRHOF,SUCCESS,855,
run_0184_cfg_019_seed_4_mrhof,19,4,8,16,0,50.0,16,5,MRHOF,SUCCESS,855,
run_0185_cfg_019_seed_5_mrhof,19,5,8,16,0,50.0,16,5,MRHOF,SUCCESS,855,
run_0186_cfg_019_seed_6_mrhof,19,6,8,16,0,50.0,16,5,MRHOF,SUCCESS,855,
run_0187_cfg_019_seed_7_mrhof,19,7,8,16,0,50.0,16,5,MRHOF,SUCCESS,855,
run_0188_cfg_019_seed_8_mrhof,19,8,8,16,0,50.0,16,5,MRHOF,SUCCESS,855,
run_0189_cfg_019_seed_9_mrhof,19,9,8,16,0,50.0,16,5,MRHOF,SUCCESS,855,
run_0190_cfg_019_seed_10_mrhof,19,10,8,16,0,50.0,16,5,MRHOF,SUCCESS,855,
run_0191_cfg_020_seed_1_of0,20,1,8,16,0,50.0,16,5,OF0,SUCCESS,855,
run_0192_cfg_020_seed_2_of0,20,2,8,16,0,50.0,16,5,OF0,SUCCESS,855,
run_0193_cfg_020_seed_3_of0,20,3,8,16,0,50.0,16,5,OF0,SUCCESS,855,
run_0194_cfg_020_seed_4_of0,20,4,8,16,0,50.0,16,5,OF0,SUCCESS,855,
run_0195_cfg_020_seed_5_of0,20,5,8,16,0,50.0,16,5,OF0,SUCCESS,855,
run_0196_cfg_020_seed_6_of0,20,6,8,16,0,50.0,16,5,OF0,SUCCESS,855,
run_0197_cfg_020_seed_7_of0,20,7,8,16,0,50.0,16,5,OF0,SUCCESS,855,
run_0198_cfg_020_seed_8_of0,20,8,8,16,0,50.0,16,5,OF0,SUCCESS,855,
run_0199_cfg_020_seed_9_of0,20,9,8,16,0,50.0,16,5,OF0,SUCCESS,855,
run_0200_cfg_020_seed_10_of0,20,10,8,16,0,50.0,16,5,OF0,SUCCESS,855,
run_0201_cfg_021_seed_1_mrhof,21,1,8,16,0,50.0,16,10,MRHOF,SUCCESS,855,
run_0202_cfg_021_seed_2_mrhof,21,2,8,16,0,50.0,16,10,MRHOF,SUCCESS,855,
run_0203_cfg_021_seed_3_mrhof,21,3,8,16,0,50.0,16,10,MRHOF,SUCCESS,855,
run_0204_cfg_021_seed_4_mrhof,21,4,8,16,0,50.0,16,10,MRHOF,SUCCESS,855,
run_0205_cfg_021_seed_5_mrhof,21,5,8,16,0,50.0,16,10,MRHOF,SUCCESS,855,
run_0206_cfg_021_seed_6_mrhof,21,6,8,16,0,50.0,16,10,MRHOF,SUCCESS,855,
run_0207_cfg_021_seed_7_mrhof,21,7,8,16,0,50.0,16,10,MRHOF,SUCCESS,855,
run_0208_cfg_021_seed_8_mrhof,21,8,8,16,0,50.0,16,10,MRHOF,SUCCESS,855,
run_0209_cfg_021_seed_9_mrhof,21,9,8,16,0,50.0,16,10,MRHOF,SUCCESS,855,
run_0210_cfg_021_seed_10_mrhof,21,10,8,16,0,50.0,16,10,MRHOF,SUCCESS,855,
run_0211_cfg_022_seed_1_of0,22,1,8,16,0,50.0,16,20,OF0,SUCCESS,855,
run_0212_cfg_022_seed_2_of0,22,2,8,16,0,50.0,16,20,OF0,SUCCESS,855,
run_0213_cfg_022_seed_3_of0,22,3,8,16,0,50.0,16,20,OF0,SUCCESS,855,
run_0214_cfg_022_seed_4_of0,22,4,8,16,0,50.0,16,20,OF0,SUCCESS,855,
